id,s_kingdom,s_class,name,s_current_listing,s_english_name1,s_english_name2,s_type,s_order,s_family
ecites_species_100,Animalia,Aves,Alisterus scapularis,II,Australian King-Parrot,Indigo-capped Hummingbird,Fauna,,
ecites_species_101,Animalia,Mammalia,Allenopithecus nigroviridis,II,Allen's Swamp Monkey,Blue-tailed Hummingbird,Fauna,,
ecites_species_102,Animalia,Reptilia,Alligator mississippiensis,II,American Alligator,Snowy-breasted Hummingbird,Fauna,,
ecites_species_103,Animalia,Reptilia,Alligator sinensis,I,"China Alligator, Chinese Alligator",Glittering-throated Emerald,Fauna,,
ecites_species_104,Animalia,Amphibia,Allobates femoralis,II,Brilliant-thighed Poison Frog,Andean Emerald,Fauna,,
ecites_species_105,Animalia,Amphibia,Allobates myersi,II,Myers's Poison Frog,Plain-bellied Emerald,Fauna,,
ecites_species_106,Animalia,Amphibia,Allobates zaparo,II,"Sanguine Poison Frog, Zaparo's Poison Frog",Honduran Emerald,Fauna,,
ecites_species_107,Animalia,Mammalia,Allocebus trichotis,I,Hairy-eared Dwarf Lemur,RondÌ«nia Emerald,Fauna,,
ecites_species_108,Animalia,Mammalia,Alouatta belzebul,II,"Black-and-red Howling Monkey, Red-handed Howler, Red-handed Howling Monkey",Purple-chested Hummingbird,Fauna,,
ecites_species_109,Animalia,Mammalia,Alouatta caraya,II,"Black Howler, Black Howling Monkey",Cinnamon Hummingbird,Fauna,,
ecites_species_110,Animalia,Mammalia,Alouatta coibensis,I,Coiba Island Howling Monkey,"Blue-vented Hummingbird, Steely-vented Hummingbird",Fauna,,
ecites_species_111,Animalia,Mammalia,Alouatta guariba,II,"Brown Howler, Brown Howling Monkey",Copper-rumped Hummingbird,Fauna,,
ecites_species_112,Animalia,Mammalia,Alouatta macconnelli,II,Guyanan Red Howler Monkey,Rufous-tailed Hummingbird,Fauna,,
ecites_species_113,Animalia,Mammalia,Alouatta nigerrima,II,Amazon Black Howler Monkey,Versicolored Emerald,Fauna,,
ecites_species_114,Animalia,Mammalia,Alouatta palliata,I,"Mantled Howler, Mantled Howling Monkey",Violet-crowned Hummingbird,Fauna,,
ecites_species_115,Animalia,Mammalia,Alouatta pigra,I,"Guatemalan Howler, Guatemalan Howling Monkey",Green-and-white Hummingbird,Fauna,,
ecites_species_116,Animalia,Mammalia,Alouatta sara,II,Bolivian Red Howling Monkey,Green-fronted Hummingbird,Fauna,,
ecites_species_117,Animalia,Mammalia,Alouatta seniculus,II,"Red Howler, Red Howling Monkey",Green-bellied Hummingbird,Fauna,,
ecites_species_118,Animalia,Amphibia,Altiphrynoides malcolmi,I,Malcolm's Ethiopian Toad,"Buff-bellied Hummingbird, Fawn-breasted Hummingbird",Fauna,,
ecites_species_119,Animalia,Amphibia,Altiphrynoides osgoodi,I,Osgood's Ethiopian Toad,"Blue-fronted Amazon, Blue-fronted Parrot, Turquoise-fronted Parrot",Fauna,,
ecites_species_120,Animalia,Aves,Amandava formosa,II,Green Avadavat,"Black-billed Amazon, Black-billed Parrot",Fauna,,
ecites_species_121,Animalia,Aves,Amazilia alticola,II,Loja Hummingbird,"White-fronted Amazon, White-fronted Parrot",Fauna,,
ecites_species_122,Animalia,Aves,Amazilia amabilis,II,Blue-chested Hummingbird,"Orange-winged Amazon, Orange-winged Parrot",Fauna,,
ecites_species_123,Animalia,Aves,Amazilia amazilia,II,Amazilia Hummingbird,"Jacquot, Red-necked Amazon, Red-necked Parrot",Fauna,,
ecites_species_124,Animalia,Aves,Amazilia beryllina,II,Berylline Hummingbird,"Yellow-naped Amazon, Yellow-naped Parrot",Fauna,,
ecites_species_125,Animalia,Aves,Amazilia boucardi,II,Mangrove Hummingbird,"Red-lored Amazon, Red-lored Parrot",Fauna,,
ecites_species_126,Animalia,Aves,Amazilia brevirostris,II,White-chested Emerald,"Yellow-shouldered Amazon, Yellow-shouldered Parrot",Fauna,,
ecites_species_127,Animalia,Aves,Amazilia candida,II,White-bellied Emerald,"Red-tailed Amazon, Red-tailed Parrot",Fauna,,
ecites_species_128,Animalia,Aves,Amazilia castaneiventris,II,Chestnut-bellied Hummingbird,"Yellow-billed Amazon, Yellow-billed Parrot",Fauna,,
ecites_species_129,Animalia,Aves,Amazilia chionogaster,II,White-bellied Hummingbird,"Blue-cheeked Amazon, Blue-cheeked Parrot",Fauna,,
ecites_species_130,Animalia,Aves,Amazilia cupreicauda,II,Copper-tailed Hummingbird,"Mealy Amazon, Mealy Parrot",Fauna,,
ecites_species_131,Animalia,Aves,Amazilia cyanifrons,II,Indigo-capped Hummingbird,"Festive Amazon, Festive Parrot",Fauna,,
ecites_species_132,Animalia,Aves,Amazilia cyanocephala,II,"Azure-crowned Hummingbird, Pied-billed Azurecrown","Lilac-crowned Amazon, Lilac-crowned Parrot",Fauna,,
ecites_species_133,Animalia,Aves,Amazilia cyanura,II,Blue-tailed Hummingbird,"Saint Vincent Amazon, Saint Vincent Parrot",Fauna,,
ecites_species_134,Animalia,Aves,Amazilia edward,II,Snowy-breasted Hummingbird,"Imperial Amazon, Imperial Parrot",Fauna,,
ecites_species_135,Animalia,Aves,Amazilia fimbriata,II,Glittering-throated Emerald,"Kawall's Amazon, Kawall's Parrot, White-faced Amazon",Fauna,,
ecites_species_136,Animalia,Aves,Amazilia franciae,II,Andean Emerald,"Bahamas Parrot, Caribbean Amazon, Cuban Amazon, Cuban Parrot",Fauna,,
ecites_species_137,Animalia,Aves,Amazilia lactea,II,Sapphire-spangled Emerald,"Scaly-naped Amazon, Scaly-naped Parrot",Fauna,,
ecites_species_138,Animalia,Aves,Amazilia leucogaster,II,Plain-bellied Emerald,"Yellow-crowned Amazon, Yellow-crowned Parrot, Yellow-fronted Amazon",Fauna,,
ecites_species_139,Animalia,Aves,Amazilia luciae,II,Honduran Emerald,"Yellow-headed Amazon, Yellow-headed Parrot",Fauna,,
ecites_species_140,Animalia,Aves,Amazilia rondoniae,II,RondÌ«nia Emerald,"Red-spectacled Amazon, Red-spectacled Parrot",Fauna,,
ecites_species_141,Animalia,Aves,Amazilia rosenbergi,II,Purple-chested Hummingbird,"Red-browed Amazon, Red-browed Parrot, Red-topped Amazon, Red-topped Parrot",Fauna,,
ecites_species_142,Animalia,Aves,Amazilia rutila,II,Cinnamon Hummingbird,"Alder Parrot, Tucuman Amazon, Tucuman Parrot",Fauna,,
ecites_species_143,Animalia,Aves,Amazilia saucerrottei,II,"Blue-vented Hummingbird, Steely-vented Hummingbird","Hispaniolan Amazon, Hispaniolan Parrot",Fauna,,
ecites_species_144,Animalia,Aves,Amazilia tobaci,II,Copper-rumped Hummingbird,"Saint Lucia Amazon, Saint Lucia Parrot",Fauna,,
ecites_species_145,Animalia,Aves,Amazilia tzacatl,II,Rufous-tailed Hummingbird,"Vinaceous Amazon, Vinaceous Parrot",Fauna,,
ecites_species_146,Animalia,Aves,Amazilia versicolor,II,Versicolored Emerald,"Green-cheeked Amazon, Green-cheeked Parrot, Red-crowned Amazon, Red-crowned Parrot",Fauna,,
ecites_species_147,Animalia,Aves,Amazilia violiceps,II,Violet-crowned Hummingbird,"Puerto Rican Amazon, Puerto Rican Parrot, Red-fronted Amazon",Fauna,,
ecites_species_148,Animalia,Aves,Amazilia viridicauda,II,Green-and-white Hummingbird,"Yellow-lored Amazon, Yellow-lored Parrot, Yucatan Parrot",Fauna,,
ecites_species_149,Animalia,Aves,Amazilia viridifrons,II,Green-fronted Hummingbird,"Yellow-faced Amazon, Yellow-faced Parrot",Fauna,,
ecites_species_150,Animalia,Aves,Amazilia viridigaster,II,Green-bellied Hummingbird,"Galapagos Marine Iguana, Marine Iguana, Sea Iguana",Fauna,,
ecites_species_151,Animalia,Aves,Amazilia yucatanensis,II,"Buff-bellied Hummingbird, Fawn-breasted Hummingbird","Achoque, Lake Patzcuaro Salamander",Fauna,,
ecites_species_152,Animalia,Aves,Amazona aestiva,II,"Blue-fronted Amazon, Blue-fronted Parrot, Turquoise-fronted Parrot",Axolotl,Fauna,,
ecites_species_153,Animalia,Aves,Amazona agilis,II,"Black-billed Amazon, Black-billed Parrot",La Planada Poison Frog,Fauna,,
ecites_species_154,Animalia,Aves,Amazona albifrons,II,"White-fronted Amazon, White-fronted Parrot",Pleasing Poison Frog,Fauna,,
ecites_species_155,Animalia,Aves,Amazona amazonica,II,"Orange-winged Amazon, Orange-winged Parrot","Ecuadorean Poison Frog, Ecuador Poison Frog",Fauna,,
ecites_species_156,Animalia,Aves,Amazona arausiaca,I,"Jacquot, Red-necked Amazon, Red-necked Parrot",Bolivian Poison Frog,Fauna,,
ecites_species_157,Animalia,Aves,Amazona auropalliata,I,"Yellow-naped Amazon, Yellow-naped Parrot",Palenque Poison Frog,Fauna,,
ecites_species_158,Animalia,Aves,Amazona autumnalis,II,"Red-lored Amazon, Red-lored Parrot",Niceforo's Poison Frog,Fauna,,
ecites_species_159,Animalia,Aves,Amazona barbadensis,I,"Yellow-shouldered Amazon, Yellow-shouldered Parrot",Manu Poison Frog,Fauna,,
ecites_species_160,Animalia,Aves,Amazona brasiliensis,I,"Red-tailed Amazon, Red-tailed Parrot",Confusing Poison Frog,Fauna,,
ecites_species_161,Animalia,Aves,Amazona collaria,II,"Yellow-billed Amazon, Yellow-billed Parrot",Ruby Poison Frog,Fauna,,
ecites_species_162,Animalia,Aves,Amazona dufresniana,II,"Blue-cheeked Amazon, Blue-cheeked Parrot",Peruvian Poison Frog,Fauna,,
ecites_species_163,Animalia,Aves,Amazona farinosa,II,"Mealy Amazon, Mealy Parrot",Spot-legged Poison Frog,Fauna,,
ecites_species_164,Animalia,Aves,Amazona festiva,II,"Festive Amazon, Festive Parrot","Beautiful-breasted Poison Frog, Blue-breasted Poison Frog, Silverstone‰Ûªs Poison Frog",Fauna,,
ecites_species_165,Animalia,Aves,Amazona finschi,I,"Lilac-crowned Amazon, Lilac-crowned Parrot",Silverstone's Poison Frog,Fauna,,
ecites_species_166,Animalia,Aves,Amazona guildingii,I,"Saint Vincent Amazon, Saint Vincent Parrot",Emerald Poison Frog,Fauna,,
ecites_species_167,Animalia,Aves,Amazona imperialis,I,"Imperial Amazon, Imperial Parrot",Three-striped Poison Frog,Fauna,,
ecites_species_168,Animalia,Aves,Amazona kawalli,II,"Kawall's Amazon, Kawall's Parrot, White-faced Amazon","Cameroon Toad, Zaire Toad",Fauna,,
ecites_species_169,Animalia,Aves,Amazona leucocephala,I,"Bahamas Parrot, Caribbean Amazon, Cuban Amazon, Cuban Parrot","Aoudad, Barbary Sheep, Uaddan",Fauna,,
